Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"BT1","Battery_Cell","BatteryHolder_Keystone_3034_1x20mm",89.500000,-43.500000,180.000000,top
"C1","4.7u","C_0402_1005Metric",74.500000,-53.250000,180.000000,top
"C4","4.7u","C_0402_1005Metric",74.520000,-52.000000,180.000000,top
"C5","100n","C_0402_1005Metric",85.600000,-65.200000,90.000000,top
"C6","100n","C_0402_1005Metric",91.900000,-65.200000,90.000000,top
"C7","100n","C_0402_1005Metric",90.500000,-69.100000,180.000000,top
"D1","LED_Dual_KKA","LED_LiteOn_LTST-S326",95.750000,-57.000000,90.000000,top
"D2","LED_Dual_KKA","LED_LiteOn_LTST-S326",81.000000,-57.000000,90.000000,top
"D3","1N5819WS","D_SOD-323_HandSoldering",75.000000,-48.750000,90.000000,top
"R1","33R","R_0402_1005Metric",94.500000,-59.500000,-90.000000,top
"R2","33R","R_0402_1005Metric",95.750000,-59.500000,-90.000000,top
"R3","33R","R_0402_1005Metric",79.750000,-59.500000,-90.000000,top
"R4","33R","R_0402_1005Metric",81.000000,-59.500000,-90.000000,top
"SW1","SW_Push","SW_Push_1P1T_XKB_TS-1187A",67.500000,-62.500000,0.000000,top
"SW2","SW_Push","SW_Push_1P1T_XKB_TS-1187A",67.500000,-70.000000,0.000000,top
"SW3","SW_Push","SW_Push_1P1T_XKB_TS-1187A",110.000000,-62.500000,0.000000,top
"SW4","SW_Push","SW_Push_1P1T_XKB_TS-1187A",110.000000,-70.000000,0.000000,top
"U1","STM32L031G6U6","QFN-28_4x4mm_P0.5mm",88.750000,-65.937500,180.000000,top
