"#","Reference","Qty","Value","Footprint","DNP"
"1","BT1","1","Battery_Cell","Battery:BatteryHolder_Keystone_3034_1x20mm",""
"2","C1, C4","2","4.7u","Capacitor_SMD:C_0402_1005Metric",""
"3","C5, C6, C7","3","100n","Capacitor_SMD:C_0402_1005Metric",""
"4","D1, D2","2","LED_Dual_KKA","LED_SMD:LED_LiteOn_LTST-S326",""
"5","D3","1","1N5819WS","Diode_SMD:D_SOD-323_HandSoldering",""
"6","H1, H2, H3, H4","4","MountingHole_Pad","Connector_Wire:SolderWirePad_1x01_SMD_1x2mm",""
"7","J1","1","Conn_RST","Connector_Wire:SolderWirePad_1x01_SMD_1x2mm",""
"8","R1, R2, R3, R4","4","33R","Resistor_SMD:R_0402_1005Metric",""
"9","SW1, SW2, SW3, SW4","4","SW_Push","Button_Switch_SMD:SW_Push_1P1T_XKB_TS-1187A",""
"10","U1","1","STM32L031G6U6","Package_DFN_QFN:QFN-28_4x4mm_P0.5mm",""
